,author_id,feature_importance,features,feature_stats,author,feature_names
104,104,"[np.float64(373.23797799296204), np.float64(299.5232450838891), np.float64(237.2951147548141), np.float64(229.2670119899986), np.float64(222.58771739811044)]","[12, 168, 8, 236, 92]","[np.float64(0.05322934765628548), np.float64(0.014733690315612464), np.float64(0.05850772497582732), np.float64(0.011595496886314085), np.float64(0.021668273616677263)]",Tamonikov,"['(PROPN, <-, PRON, obj)' '(NUM, <-, DET, mark)' '(NOUN, <-, DET, PAD)'
 '(X, <-, PROPN, appos)' '(ADP, ->, PAD, acl)']"
105,105,"[np.float64(268.307855436448), np.float64(230.62881643869306), np.float64(188.55651421985758), np.float64(142.46207950498), np.float64(119.33152927061904)]","[1, 135, 81, 165, 93]","[np.float64(0.13308942301418683), np.float64(0.021714637839253047), np.float64(0.028707487312910805), np.float64(0.018907235458708514), np.float64(0.026617884602837365)]",TEDRus,"['(X, ->, PROPN, mark)' '(ADV, <-, DET, advmod)' '(VERB, <-, X, nummod)'
 '(PAD, ->, NOUN, iobj)' '(SCONJ, <-, PRON, iobj)']"
106,106,"[np.float64(221.7526082731383), np.float64(217.51311117761455), np.float64(211.90813471602218), np.float64(206.09220709226688), np.float64(203.04475996257844)]","[2, 195, 45, 587, 425]","[np.float64(0.07710905911876495), np.float64(0.01629715113877885), np.float64(0.03632770383280489), np.float64(0.005932327387262627), np.float64(0.008525517376176576)]",Teffi,"['(PRON, <-, AUX, orphan)' '(PRON, <-, SCONJ, discourse)'
 '(DET, <-, PART, root)' '(NOUN, ->, INTJ, appos)'
 '(ADJ, ->, INTJ, appos)']"
107,107,"[np.float64(245.25121027764555), np.float64(235.18593824815514), np.float64(217.92478004985662), np.float64(213.41535107255953), np.float64(210.16340420560093)]","[65, 742, 12, 61, 3]","[np.float64(0.040521711365600274), np.float64(0.005326619284872963), np.float64(0.0769749586692073), np.float64(0.04183039225249013), np.float64(0.11585320326554237)]",Tolstoy,"['(PROPN, ->, PUNCT, flat)' '(VERB, ->, NOUN, obj)'
 '(PROPN, <-, PRON, obj)' '(PART, <-, PROPN, conj)' '(X, <-, PROPN, flat)']"
108,108,"[np.float64(229.51358667324973), np.float64(214.58612159734415), np.float64(210.36179406845682), np.float64(208.3365039452595), np.float64(199.02009108333948)]","[429, 40, 145, 229, 115]","[np.float64(0.008958717928737332), np.float64(0.035360385921871205), np.float64(0.018294031656064774), np.float64(0.014066091846263763), np.float64(0.021304440374368974)]",Turgenev,"['(NUM, <-, ADJ, fixed)' '(ADJ, ->, ADJ, ccomp)' '(PAD, <-, VERB, aux)'
 '(INTJ, <-, ADV, conj)' '(PRON, <-, X, csubj)']"
109,109,"[np.float64(225.4506597448279), np.float64(193.39639987839627), np.float64(161.66248921106518), np.float64(159.92151932816614), np.float64(148.06152042392515)]","[7, 102, 30, 103, 201]","[np.float64(0.05196861416108884), np.float64(0.018287493171929688), np.float64(0.03612389410190259), np.float64(0.018139506345044555), np.float64(0.011677205977764282)]",Uspensky,"['(VERB, <-, PAD, case)' '(PROPN, <-, VERB, appos)'
 '(NOUN, <-, SCONJ, mark)' '(PROPN, ->, ADJ, flat:foreign)'
 '(ADJ, ->, PUNCT, PAD)']"
110,110,"[np.float64(347.02460714387433), np.float64(321.80460629185114), np.float64(286.27400828707357), np.float64(276.50749005006475), np.float64(274.90836216018255)]","[148, 88, 407, 381, 140]","[np.float64(0.016931080135164124), np.float64(0.02303200625757561), np.float64(0.008047145527952208), np.float64(0.008685476571091675), np.float64(0.017357729109073423)]",Vainery,"['(PUNCT, ->, ADP, advmod)' '(DET, ->, AUX, acl:relcl)'
 '(ADV, ->, AUX, nsubj)' '(VERB, <-, PAD, det)' '(NUM, <-, DET, obl)']"
111,111,"[np.float64(82.91538507717836), np.float64(47.08778049136851), np.float64(45.61751581643793), np.float64(43.039051900741725), np.float64(38.60206837310453)]","[12, 15, 3, 29, 56]","[np.float64(0.08572854450643526), np.float64(0.07724523172695284), np.float64(0.24108361816183096), np.float64(0.05137018882700068), np.float64(0.03671076041098032)]",vestnik nsu,"['(PROPN, <-, PRON, obj)' '(ADJ, ->, INTJ, nummod)' '(X, <-, PROPN, flat)'
 '(DET, ->, SCONJ, acl:relcl)' '(ADJ, ->, ADP, advmod)']"
112,112,"[np.float64(221.57053713371877), np.float64(111.53982689434156), np.float64(69.43617962491608), np.float64(55.60192651982554), np.float64(48.542936942451846)]","[4, 27, 16, 1147, 133]","[np.float64(0.11181844360964663), np.float64(0.03928756126825422), np.float64(0.04533180146337026), np.float64(0.0), np.float64(0.014571136244236615)]",VestnikRayona,"['(SCONJ, ->, INTJ, advmod)' '(VERB, <-, CCONJ, punct)'
 '(INTJ, ->, ADP, mark)' '(CCONJ, <-, CCONJ, parataxis)'
 '(INTJ, ->, INTJ, case)']"
113,113,"[np.float64(230.97128310809921), np.float64(229.36336843173865), np.float64(198.92912357018426), np.float64(182.595604746271), np.float64(178.9883648104513)]","[46, 9, 122, 197, 145]","[np.float64(0.03000985090186752), np.float64(0.06001970180373504), np.float64(0.01833935332891904), np.float64(0.01333771151194112), np.float64(0.0166721393899264)]",Vladimirova,"['(PART, ->, ADJ, obj)' '(NOUN, ->, AUX, obl)' '(INTJ, ->, DET, fixed)'
 '(X, ->, ADJ, acl)' '(PAD, <-, VERB, aux)']"
114,114,"[np.float64(259.88149003995034), np.float64(258.6035407523057), np.float64(256.5074591151682), np.float64(240.07843971901997), np.float64(237.7749454251752)]","[182, 473, 76, 9, 100]","[np.float64(0.009456070942948699), np.float64(0.0038866137214633783), np.float64(0.01896273220538701), np.float64(0.05103453655059854), np.float64(0.015525769109360196)]",Vlasova,"['(NUM, ->, PROPN, orphan)' '(NOUN, <-, PRON, nmod)'
 '(PRON, ->, PRON, mark)' '(NOUN, ->, AUX, obl)' '(ADJ, <-, NUM, nsubj)']"
115,115,"[np.float64(253.57577901076527), np.float64(234.44983265725256), np.float64(223.44547522869456), np.float64(212.37876931028842), np.float64(198.41445652576084)]","[13, 161, 260, 253, 714]","[np.float64(0.056602496323466055), np.float64(0.01937223859636125), np.float64(0.014005800630634292), np.float64(0.014225633589262305), np.float64(0.005496196683107233)]",Voinovich,"['(PART, <-, NUM, parataxis)' '(INTJ, ->, ADV, acl:relcl)'
 '(PROPN, ->, X, xcomp)' '(PRON, <-, VERB, aux:pass)'
 '(INTJ, ->, INTJ, iobj)']"
116,116,"[np.float64(286.96421484344074), np.float64(219.5279608080088), np.float64(203.31425154607993), np.float64(197.26230422217097), np.float64(189.98420847693257)]","[51, 65, 286, 186, 548]","[np.float64(0.02460441053492848), np.float64(0.022776917599059737), np.float64(0.008279814873944429), np.float64(0.011311652017560025), np.float64(0.0040972532697300485)]",Volkov,"['(NUM, <-, PART, case)' '(PROPN, ->, PUNCT, flat)'
 '(PRON, <-, PUNCT, advmod)' '(NUM, ->, ADJ, acl:relcl)'
 '(PROPN, ->, PART, flat)']"
117,117,"[np.float64(183.00311874339343), np.float64(158.26453033463432), np.float64(133.7611710286473), np.float64(129.08940448874552), np.float64(123.67232537556228)]","[25, 179, 54, 39, 65]","[np.float64(0.05358146930157326), np.float64(0.013395367325393315), np.float64(0.040186101976179944), np.float64(0.040186101976179944), np.float64(0.02679073465078663)]",Vorotyntseva,"['(AUX, <-, PART, cc)' '(CCONJ, ->, ADV, punct)' '(VERB, <-, INTJ, nsubj)'
 '(ADV, <-, VERB, orphan)' '(PROPN, ->, PUNCT, flat)']"
118,118,"[np.float64(315.1910273026038), np.float64(231.9249405441105), np.float64(228.81008976320697), np.float64(173.18781388113322), np.float64(135.4199168704155)]","[3, 1, 4, 24, 999]","[np.float64(0.06693825549987731), np.float64(0.08032590659985277), np.float64(0.06693825549987731), np.float64(0.026775302199950925), np.float64(0.0)]",YasenevoMedia,"['(X, <-, PROPN, flat)' '(X, ->, PROPN, mark)' '(SCONJ, ->, INTJ, advmod)'
 '(VERB, ->, PART, obl)' '(ADV, ->, ADP, appos)']"
119,119,"[np.float64(327.8274037411681), np.float64(269.67882129708113), np.float64(269.1697562878322), np.float64(267.8432403279773), np.float64(258.05179616355696)]","[25, 176, 0, 403, 180]","[np.float64(0.04644179940883804), np.float64(0.014486620332264718), np.float64(0.15445564552566343), np.float64(0.007495258566365926), np.float64(0.01390789733902633)]",Zemlyanoj,"['(AUX, <-, PART, cc)' '(DET, <-, PRON, discourse)'
 '(PROPN, ->, ADJ, advcl)' '(ADJ, ->, ADJ, iobj)' '(SYM, <-, AUX, cop)']"
120,120,"[np.float64(186.06439005194443), np.float64(164.88627930706414), np.float64(159.55700558606176), np.float64(158.99241944626988), np.float64(150.7040710926878)]","[19, 79, 851, 58, 0]","[np.float64(0.044464662151264545), np.float64(0.021444305477638655), np.float64(0.002273227431757632), np.float64(0.026406535709951176), np.float64(0.09272019580597132)]",Zhitkov,"['(NOUN, <-, VERB, iobj)' '(NUM, <-, CCONJ, punct)'
 '(PAD, ->, VERB, orphan)' '(NOUN, ->, ADV, nsubj)'
 '(PROPN, ->, ADJ, advcl)']"
121,121,"[np.float64(679.036072981195), np.float64(298.5923835339198), np.float64(298.23920138956254), np.float64(287.37023970110874), np.float64(259.09546922394736)]","[4, 227, 2, 46, 92]","[np.float64(0.05546276231745639), np.float64(0.010104189898779705), np.float64(0.06226075658684734), np.float64(0.026662260812606392), np.float64(0.019031782693129537)]",ZlotnikovNikolaev,"['(SCONJ, ->, INTJ, advmod)' '(DET, <-, X, nsubj)'
 '(PRON, <-, AUX, orphan)' '(PART, ->, ADJ, obj)' '(ADP, ->, PAD, acl)']"
122,122,"[np.float64(322.8276073269666), np.float64(317.9977155555968), np.float64(294.90083287932623), np.float64(212.02828815232104), np.float64(211.83361358779732)]","[16, 96, 393, 194, 123]","[np.float64(0.0503147539626414), np.float64(0.021646816358284707), np.float64(0.0082561802869907), np.float64(0.014042561723398515), np.float64(0.018435174616029084)]",Zlotnikov,"['(INTJ, ->, ADP, mark)' '(ADP, ->, ADV, appos)'
 '(PART, ->, DET, discourse)' '(PRON, <-, VERB, iobj)'
 '(PUNCT, ->, NOUN, advcl)']"
123,123,"[np.float64(282.9623795677045), np.float64(224.70727429867077), np.float64(205.49211764235775), np.float64(200.63762089022265), np.float64(193.27224058051607)]","[90, 323, 338, 79, 43]","[np.float64(0.02039398071402339), np.float64(0.008648774199890425), np.float64(0.008210472485742538), np.float64(0.022522124009161367), np.float64(0.029583298039219882)]",Zoschenko,"['(CCONJ, ->, SCONJ, advmod)' '(NUM, <-, NOUN, iobj)'
 '(AUX, ->, VERB, nummod:gov)' '(NUM, <-, CCONJ, punct)'
 '(PRON, ->, ADV, acl:relcl)']"
